Trials,StockPrice,p2Cash,p2Stock,p2Decision
1,100,10000,10,no trade
2,103,10000,10,sell
3,103,10103,9,sell
4,103,10206,8,no trade
5,107,10206,8,sell
6,107,10313,7,sell
7,107,10420,6,sell
8,107,10527,5,no trade
9,111,10527,5,no trade
10,115,10527,5,no trade
11,119,10527,5,no trade
12,123,10527,5,no trade
13,120,10527,5,no trade
14,117,10527,5,no trade
15,114,10527,5,no trade
16,111,10527,5,no trade
17,108,10527,5,no trade
18,105,10527,5,no trade
19,109,10527,5,no trade
20,113,10527,5,no trade
21,110,10527,5,no trade
22,117,10527,5,sell
23,117,10644,4,sell
24,112,10761,3,buy
25,112,10649,4,no trade
26,119,10649,4,sell
27,114,10768,3,no trade
28,111,10768,3,no trade
29,108,10768,3,no trade
30,105,10768,3,no trade
31,102,10768,3,no trade
32,99,10768,3,no trade
33,105,10768,3,no trade
34,102,10768,3,no trade
35,109,10768,3,no trade
36,106,10768,3,no trade
37,106,10768,3,no trade
38,113,10768,3,sell
39,108,10881,2,no trade
40,115,10881,2,no trade
41,112,10881,2,no trade
42,119,10881,2,no trade
43,116,10881,2,no trade
44,123,10881,2,sell
45,117,11004,1,no trade
46,125,11004,1,sell
47,119,11129,0,buy
48,131,11010,1,sell
49,125,11141,0,no trade
50,133,11141,0,no trade
51,130,11141,0,no trade
52,138,11141,0,no trade
53,134,11141,0,no trade
54,143,11141,0,no trade
55,139,11141,0,no trade
56,148,11141,0,no trade
57,144,11141,0,buy
58,159,10997,1,no trade
59,155,10997,1,no trade
60,151,10997,1,buy
61,151,10846,2,buy
62,151,10695,3,no trade
63,142,10695,3,buy
64,142,10553,4,no trade
65,134,10553,4,buy
66,141,10419,5,no trade
67,133,10419,5,buy
68,140,10286,6,no trade
69,132,10286,6,no trade
70,125,10286,6,no trade
71,129,10286,6,no trade
72,122,10286,6,buy
73,129,10164,7,sell
74,117,10293,6,no trade
75,121,10293,6,sell
76,109,10414,5,buy
77,115,10305,6,sell
78,104,10420,5,no trade
79,108,10420,5,no trade
80,102,10420,5,no trade
81,106,10420,5,no trade
82,100,10420,5,no trade
83,103,10420,5,no trade
84,97,10420,5,buy
85,102,10323,6,sell
86,92,10425,5,no trade
87,95,10425,5,no trade
88,95,10425,5,no trade
89,95,10425,5,buy
90,98,10330,6,no trade
91,93,10330,6,sell
92,93,10423,5,no trade
93,93,10423,5,no trade
94,93,10423,5,no trade
95,93,10423,5,buy
96,96,10330,6,sell
97,87,10426,5,no trade
98,90,10426,5,no trade
99,85,10426,5,buy
100,90,10341,6,sell
101,81,10431,5,
